g.pnum,c.name,r.name,e.evidence,d.evidence
22TM06,"At sea, fleeing Kyūshū for the capital","At sea, fleeing Kyūshū for the capital","Aboard ship fleeing Kyūshū, ""Her young mistress replied"" with the verse, then ""collapsed and lay prostrate"" (Washburn NC p. 411).","Heard aboard ship by Ateki, present; co-present on the flight."
22TM07,"At sea, fleeing Kyūshū for the capital","At sea, fleeing Kyūshū for the capital","Aboard ship off Hibiki no Nada (Harima coast), fearing the suitor's pursuit, ""The nurse composed a poem"" (Washburn NC p. 412).",Speaker = addressee (composed inwardly) aboard ship.
22TM08,Hasedera (the Hatsuse Kannon temple),Hasedera (the Hatsuse Kannon temple),"At Hasedera, as the party ""could look down on the crowd of pilgrims... The Hatsuse River was flowing before them,"" ""Ukon composed the following"" (Washburn NC p. 419).","Heard by Tamakazura at Hasedera, present beside her; co-present."
22TM09,Hasedera (the Hatsuse Kannon temple),Hasedera (the Hatsuse Kannon temple),"At Hasedera, ""The young lady replied""; ""Upon composing her verse, she broke down and wept"" (Washburn NC p. 419).","Heard by Ukon at Hasedera, present; co-present."
22TM10,The Rokujō estate (Genji's mansion),The Kujō lodging (Tamakazura's residence in the capital),"At the Rokujō estate, cautious after his disappointment with Princess Safflower, Genji ""sent a letter to the young lady"" in a sober, fatherly tone, appending the verse (Washburn NC p. 422).","Received at the Kujō lodging, where ""Ukon took Genji's letter and delivered it herself""; the young lady read it ""feeling hesitant"" (Washburn NC p. 422)."
22TM11,The Kujō lodging (Tamakazura's residence in the capital),The Rokujō estate (Genji's mansion),"At the Kujō lodging, pressed by the nurse, the young lady ""took out a piece of richly scented Chinese paper and wrote her reply poem"" (Washburn NC pp. 422–423).","Received by Genji at the Rokujō estate — ""Genji was relieved to see that it was not at all disappointing"" (Washburn NC p. 423)."
22TM12,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, talking with Murasaki, Genji ""pulled an inkstone over and, as if practicing his calligraphy, scribbled the following"" (Washburn NC p. 425).","Speaker = addressee; ""'My lovely garland... Tamakazura...,' he murmured to himself"" at Rokujō."
22TM13,Nijō (Genji's villa),The Rokujō estate (Genji's mansion),"At the annex of the Nijō villa, where ""his Princess Safflower"" still lived, she wrote her reply on yellowed Michinokuni paper (Washburn NC pp. 427–428).","Received by Genji at the Rokujō estate — he ""studied the letter with a wry smile"" and would not put it down (Washburn NC p. 428)."
22TM14,The Rokujō estate (Genji's mansion),Nijō (Genji's villa),"At the Rokujō estate, prodded by Murasaki that a reply was due, ""Genji wrote back"" in a casual tone (Washburn NC p. 429).",Sent to Suetsumuhana at the Nijō annex; inferred from context — her residence (no reaction shown; the chapter closes on Genji's reply).
23HT01,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, in Murasaki's spring quarter, Genji recited the seasonal greetings and ""offered her the following"" (Washburn NC p. 430).","Heard by Murasaki at the Rokujō estate, present; co-present."
23HT02,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, ""Murasaki replied"" (Washburn NC p. 431).","Heard by Genji at the Rokujō estate, present; co-present."
23HT03,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, from her own quarter, the Akashi lady ""had sent over fruit and flowers... a remarkably well-crafted mechanical warbler"" with the verse (Washburn NC p. 431).","Received in Murasaki's quarter at the Rokujō estate, where the Akashi Princess was being raised and Genji was visiting (Washburn NC p. 431)."
23HT04,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, ""He ordered an inkstone brought out and had her write"" the reply herself (Washburn NC p. 432).","Received by the Akashi lady in her winter quarter at the Rokujō estate, where she ""read it over and over"" (Washburn NC p. 433)."
23HT05,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, in the Akashi lady's quarter, ""as she read it over and over, she had jotted down"" verses, among them this one (Washburn NC p. 433).",Speaker = addressee (jotted privately) in the Akashi lady's quarter at Rokujō.
23HT06,Nijō (Genji's villa),Nijō (Genji's villa),"At the Nijō east annex — ""the abode I lived in long ago"" — surveying the red plum with no one to admire it, ""He whispered the poem to himself"" (Washburn NC pp. 436–437).","Speaker = addressee (whispered to himself) at the Nijō east annex; Suetsumuhana ""would not have guessed"" the hidden jibe (Washburn NC p. 437)."
24KC01,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, aboard the dragon- and heron-prowed boats touring Murasaki's spring garden, the young women ""exchanged trivial poems like these one after another"" (Washburn NC p. 440).","Heard aboard the boats by the other ladies-in-waiting, present; co-present."
24KC02,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, aboard the boats, the ladies traded these verses in turn (Washburn NC p. 440).","Heard aboard the boats by the other ladies-in-waiting, present; co-present."
24KC03,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, aboard the boats on the spring ponds, the ladies composed in turn (Washburn NC p. 440).","Heard aboard the boats by the other ladies-in-waiting, present; co-present."
24KC04,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, aboard the boats, the women ""exchanged trivial poems like these one after another"" (Washburn NC p. 440).","Heard aboard the boats by the other ladies-in-waiting, present; co-present."
24KC05,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō spring celebration, Prince Sochinomiya declined the cup and ""offered a spray of wisteria for Genji's headdress"" with the verse (Washburn NC p. 442).","Heard by Genji at Rokujō, present; co-present."
24KC06,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō celebration, ""Genji couldn't help but smile"" and capped the Prince's verse (Washburn NC p. 442).","Heard by Prince Hotaru at Rokujō, present; co-present."
24KC07,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, Murasaki's flower-bearing page girls reached Umetsubo's hall, where Genji's son ""read aloud the letter that had come with the flowers"" (Washburn NC p. 443).","Received in Akikonomu's (Umetsubo's) autumn quarter at Rokujō, where ""Umetsubo looked out on the party and smiled"" (Washburn NC p. 443)."
24KC08,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, in her autumn quarter, ""Umetsubo composed her reply"" (Washburn NC p. 444).",Received by Murasaki in her spring quarter at Rokujō (carried back across the estate) (Washburn NC p. 444).
24KC09,Indeterminate,The Rokujō estate (Genji's mansion),"No locating text — Kashiwagi's whereabouts at composition are not given (indeterminate). The knotted light-blue letter was later identified as ""from the Palace Minister's oldest son, Kashiwagi"" (Washburn NC pp. 444–446).","Received in Tamakazura's west hall at the Rokujō estate, where Genji ""unfolded the paper and opened the letter"" (Washburn NC p. 444)."
24KC10,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, pausing at the Chinese bamboo by Tamakazura's quarters, Genji recited the verse (Washburn NC pp. 447–448).","Heard by Tamakazura at Rokujō — she ""came out of her room, sat down in the gallery, and replied""; co-present."
24KC11,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, Tamakazura came out to the gallery and ""replied"" (Washburn NC p. 448).","Heard by Genji at Rokujō, present; co-present."
24KC12,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, in Tamakazura's chambers, ""Playing with a mandarin orange... he composed a verse"" (Washburn NC p. 449).","Heard by Tamakazura at Rokujō, present (he took her hand); co-present."
24KC13,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, head bowed, Tamakazura answered him (Washburn NC p. 449).","Heard by Genji at Rokujō, present; co-present."
24KC14,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, ""His letter arrived early the next morning"" — written on white paper — sent from his quarters to Tamakazura's (Washburn NC p. 450).","Received by Tamakazura in her chambers at Rokujō, where ""she reluctantly perused his letter"" (Washburn NC p. 450)."
25HR01,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, peeking through her curtain panels when the released fireflies flashed, Prince Sochinomiya recited the verse (Washburn NC p. 454).","Heard by Tamakazura at Rokujō, just behind her curtain; co-present."
25HR02,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, ""she answered him right away"" through the curtain (Washburn NC p. 454).","Heard by Prince Hotaru at Rokujō, present at her curtain; co-present."
25HR03,Indeterminate,The Rokujō estate (Genji's mansion),"No locating text — the Prince's whereabouts at composition are not given (indeterminate). ""A letter from Prince Sochinomiya arrived on thin white paper tied to a white root of sweet flag"" (Washburn NC p. 455).","Received by Tamakazura at the Rokujō estate, where Genji ""advised Tamakazura to respond that day"" (Washburn NC p. 456)."
25HR04,The Rokujō estate (Genji's mansion),Indeterminate,"At the Rokujō estate, urged by Genji and her attendants, Tamakazura ""complied"" and wrote the reply (Washburn NC p. 456).","No locating text — the Prince's whereabouts at receipt are not given (indeterminate). He ""was mildly disappointed with her letter"" (Washburn NC p. 456)."
25HR05,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, in Hanachirusato's summer quarter where Genji stayed the night, ""She spoke softly"" the verse (Washburn NC p. 458).","Heard by Genji at Rokujō, present; co-present."
25HR06,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, Genji answered her verse (Washburn NC p. 458).","Heard by Hanachirusato at Rokujō, present; co-present."
25HR07,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, ""Genji sidled over to her"" and recited the verse as she hid her face (Washburn NC p. 460).","Heard by Tamakazura at Rokujō, present (he stroked her hair); co-present."
25HR08,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, ""her resentment led her to reply"" (Washburn NC p. 460).","Heard by Genji at Rokujō, present; co-present."
26TK01,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, in Tamakazura's quarters with their pink-filled garden, Genji recited the verse, wishing Tō no Chūjō could ""view this flower garden"" (Washburn NC p. 467).","Heard by Tamakazura at Rokujō, present — she ""began to cry"" and replied; co-present."
26TK02,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, weeping, Tamakazura answered him (Washburn NC p. 468).","Heard by Genji at Rokujō, present; co-present."
26TK03,Tō no Chūjō's residence,Tō no Chūjō's residence,"At Tō no Chūjō's residence, in the north hall where she was lodged, the lady from Ōmi ""wrote all this on a sheet of blue paper"" and sent it by a page girl (Washburn NC p. 475).","Received by the Kokiden Consort at the same residence (""The Consort is in residence here""), who ""smiled at the outlandish writing"" (Washburn NC pp. 473, 475)."
26TK04,Tō no Chūjō's residence,Tō no Chūjō's residence,"At Tō no Chūjō's residence, in the Consort's quarters, Chūnagon ""wrote the reply in a skillful imitation of the Consort's hand"" (Washburn NC p. 475).","Received by the lady from Ōmi back in the north hall, where, reading it, she ""remarked, 'A lovely turn of phrase!'"" (Washburn NC pp. 475–476)."
27KG01,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, in Tamakazura's northeast-quadrant quarters where Genji had the cresset fires relit, he recited the verse (Washburn NC p. 477).","Heard by Tamakazura at Rokujō, lying beside him; co-present."
27KG02,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, finding his manner ""rather queer,"" Tamakazura answered him (Washburn NC p. 478).","Heard by Genji at Rokujō, present; co-present."
28NW01,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, in the Akashi lady's northwest (winter) residence, after Genji ""rather coldly left after only a brief time"" she ""murmured the following to herself"" (Washburn NC p. 485).",Soliloquy — spoken to herself in place at Rokujō; no external recipient.
28NW02,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, in Tamakazura's west hall (northeast/summer residence), ""Tamakazura composed this verse"" as Genji stood up (Washburn NC p. 486).","Heard by Genji at Rokujō, present — he ""repeated the verse in a murmuring voice""; co-present."
28NW03,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, in Tamakazura's west hall, ""Genji replied"" (Washburn NC p. 486).","Heard by Tamakazura at Rokujō, present; co-present."
28NW04,The Rokujō estate (Genji's mansion),Tō no Chūjō's residence,"At the Rokujō estate, in the Akashi Princess's chambers, Genji's son borrowed paper and ""composed his note on the thin, purple-tinted paper,"" then had it dispatched to Kumoinokari (Washburn NC pp. 487–488).","No receipt scene shown; inferred from context — the letter was carried to Kumoi no Kari at Tō no Chūjō's residence, where she was then living (cf. Ch26) (Washburn NC pp. 488–489)."
29MY01,Ōharano (the imperial excursion),The Rokujō estate (Genji's mansion),"At Ōharano, where ""Emperor Reizei reached Ōharano, his palanquin halted,"" he had a pheasant pair tied to a branch and sent with the letter to Genji (Washburn NC p. 491).","Received by Genji at the Rokujō estate, where — kept home by a travel prohibition — he ""humbly received the messenger and sent a reply"" (Washburn NC pp. 491–492)."
29MY02,The Rokujō estate (Genji's mansion),Ōharano (the imperial excursion),"At the Rokujō estate, Genji ""humbly received the messenger and sent a reply"" (Washburn NC p. 492).","No receipt scene shown; inferred from context — carried back to the Emperor with the returning messenger, who had come from the Ōharano excursion (Washburn NC pp. 491–492)."
29MY03,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, in her quarters, Tamakazura answered Genji's plain-paper note and ""sent a reply"" (Washburn NC p. 492).","Received by Genji at the Rokujō estate, where he ""showed the reply to Murasaki"" (Washburn NC p. 492)."
29MY04,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, ""He sent another note to Tamakazura"" (Washburn NC p. 492).",Received by Tamakazura in her quarters at the Rokujō estate (Washburn NC p. 492).
29MY05,The Sanjō estate (Princess Ōmiya's),The Rokujō estate (Genji's mansion),"At the Sanjō residence, ""shut away in my residence"" as a nun, Princess Ōmiya attached the poem to a set of comb boxes (Washburn NC p. 499).","Received in Tamakazura's quarters at the Rokujō estate, where Genji ""happened to be... when the letter and presents arrived"" and read it over (Washburn NC pp. 499–500)."
29MY06,Nijō (Genji's villa),The Rokujō estate (Genji's mansion),"At Nijō, in the east annex where ""The Hitachi Princess... remained,"" Suetsumuhana attached the poem to the sleeve of a formal robe (Washburn NC pp. 499–501).","Received at the Rokujō estate, where Genji ""blushed when he saw it"" and noticed ""one of her mannered poems"" (Washburn NC pp. 500–501)."
29MY07,The Rokujō estate (Genji's mansion),Nijō (Genji's villa),"At the Rokujō estate, ""You are so frantically busy I shall write the reply for you,"" Genji said, and ""composed the following"" (Washburn NC p. 501).",No receipt scene shown; inferred from context — the reply was meant for Suetsumuhana at her established Nijō east annex (Washburn NC pp. 500–501).
29MY08,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, having ""went inside Tamakazura's blinds to tie the waist cords,"" Tō no Chūjō ""turned toward Tamakazura"" and recited, unable to hold back tears (Washburn NC pp. 501–502).","Heard by Tamakazura at Rokujō, present behind her ceremonial fan; co-present."
29MY09,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, ""Tamakazura, daunted by the presence of two such eminent noblemen, was unable to reply. Genji composed a response for her"" (Washburn NC p. 502).","Heard by Tō no Chūjō at Rokujō, present at the ceremony; co-present."
30FJ01,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, at Tamakazura's blinds, Genji's son ""passed to her around the edge of her blinds a bunch of elegant mistflowers"" and recited (Washburn NC p. 507).","Heard by Tamakazura at Rokujō, just inside her blinds; co-present."
30FJ02,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, slipping back toward her chambers, Tamakazura answered through her blinds (Washburn NC p. 508).","Heard by Yūgiri at Rokujō, present at her blinds; co-present."
30FJ03,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, seated at her blinds on the south veranda, Kashiwagi conveyed the verse through her lady Saishō (Washburn NC pp. 511–512).","Heard by Tamakazura at Rokujō, behind her blinds (via Saishō); co-present."
30FJ04,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, Tamakazura answered through Saishō (Washburn NC p. 512).","Heard by Kashiwagi at Rokujō, present at her blinds; co-present."
30FJ05,Indeterminate,The Rokujō estate (Genji's mansion),"No locating text — the Major Captain's whereabouts at composition are not given (indeterminate). His go-between ""discreetly brought in"" the letter among the suitors' usual messages (Washburn NC p. 513).","Received at the Rokujō estate, where Tamakazura ""had the women read them to her"" (Washburn NC p. 513)."
30FJ06,Indeterminate,The Rokujō estate (Genji's mansion),"No locating text — the Prince's whereabouts at composition are not given (indeterminate). His letter came ""attached to a sadly withered stem of frost-covered bamboo grass"" (Washburn NC p. 513).","Received at the Rokujō estate, read aloud to Tamakazura with the morning's letters (Washburn NC p. 513)."
30FJ07,Indeterminate,The Rokujō estate (Genji's mansion),"No locating text — the Commander's whereabouts at composition are not given (indeterminate). The son of Prince Hyōbu ""sent a note of complaint that included this poem"" (Washburn NC p. 513).",Received at the Rokujō estate among the suitors' letters read to Tamakazura (Washburn NC pp. 513–514).
30FJ08,The Rokujō estate (Genji's mansion),Indeterminate,"At the Rokujō estate, Tamakazura ""decided to reply — and briefly at that — to Prince Sochinomiya alone"" (Washburn NC p. 514).","No locating text — the Prince's whereabouts at receipt are not given (indeterminate). He ""looked at her faint brushstrokes as a rare wonder"" and was happy (Washburn NC p. 514)."
31MA01,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, Genji came to Tamakazura's quarters at noon ""when the Major Captain was not there"" and, peeking through her curtains, recited (Washburn NC pp. 515–516).","Heard by Tamakazura at Rokujō, behind her standing curtain; co-present."
31MA02,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, she ""hid her face and replied"" (Washburn NC p. 516).","Heard by Genji at Rokujō, present; co-present."
31MA03,Higekuro's residence,The Rokujō estate (Genji's mansion),"At Higekuro's residence, where the night's exorcism had just calmed, he ""took the opportunity... to send a letter to Tamakazura"" (Washburn NC p. 521).","Received by Tamakazura at the Rokujō estate, where she ""had not given a thought to his absence"" and ""did not reply"" (Washburn NC p. 522)."
31MA04,Higekuro's residence,Higekuro's residence,"At Higekuro's residence, ""Moku was scenting fresh robes for him"" when she recited (Washburn NC p. 522).","Heard by Higekuro at his residence, present; co-present."
31MA05,Higekuro's residence,Higekuro's residence,"At Higekuro's residence, he answered Moku (Washburn NC p. 522).","Heard by Moku at Higekuro's residence, present; co-present."
31MA06,Higekuro's residence,Higekuro's residence,"At Higekuro's residence, by ""a pillar of cypress wood on the east side of her room,"" the girl wrote the verse on bark-colored paper and ""stuck the ornament into a crack in the pillar"" (Washburn NC p. 523).","Addressed to the cypress pillar itself, which remains at Higekuro's residence; left in place."
31MA07,Higekuro's residence,Higekuro's residence,"At Higekuro's residence, as they prepared to leave, ""her mother replied"" (Washburn NC p. 523).","Heard by the daughter at Higekuro's residence, present; co-present."
31MA08,Higekuro's residence,Higekuro's residence,"At Higekuro's residence, at the departure, ""Chūjō no moto composed the following"" to Moku (Washburn NC p. 524).","Heard by Moku at Higekuro's residence, present; co-present."
31MA09,Higekuro's residence,Higekuro's residence,"At Higekuro's residence, ""Moku replied"" (Washburn NC p. 525).","Heard by Chūjō no Omoto at Higekuro's residence, present; co-present."
31MA10,The palace (Tamakazura's Shōkyōden quarters),The palace (Tamakazura's Shōkyōden quarters),"At the palace, where Sochinomiya ""was performing music for His Majesty,"" he ""sent her a message"" to her Shōkyōden quarters (Washburn NC p. 529).","Received by Tamakazura in her Shōkyōden quarters at the palace, where ""she looked at it reluctantly"" (Washburn NC p. 529)."
31MA11,The palace (Tamakazura's Shōkyōden quarters),The palace (Tamakazura's Shōkyōden quarters),"At the palace, ""His Majesty arrived"" at Tamakazura's quarters and addressed her (Washburn NC pp. 529–530).","Heard by Tamakazura at the palace, present (hiding behind her fan); co-present."
31MA12,The palace (Tamakazura's Shōkyōden quarters),The palace (Tamakazura's Shōkyōden quarters),"At the palace, she ""replied with a poem intended to express her gratitude"" for the promotion (Washburn NC p. 530).","Heard by the Emperor at the palace, present; co-present."
31MA13,The palace (Tamakazura's Shōkyōden quarters),The palace (Tamakazura's Shōkyōden quarters),"At the palace, ""Emperor Reizei was composing it in person for her"" as she made ready to leave (Washburn NC p. 531).","Heard by Tamakazura at the palace, present; co-present."
31MA14,The palace (Tamakazura's Shōkyōden quarters),The palace (Tamakazura's Shōkyōden quarters),"At the palace, she answered the Emperor as she withdrew (Washburn NC p. 531).","Heard by the Emperor at the palace, present; co-present."
31MA15,The Rokujō estate (Genji's mansion),Higekuro's residence,"At the Rokujō estate, Genji ""broke his silence and sent a letter,"" delivered discreetly to her attendant Ukon (Washburn NC p. 532).","Received by Tamakazura at Higekuro's residence, where ""Ukon brought the letter to her mistress... Tamakazura wept to see it"" (Washburn NC p. 532)."
31MA16,Higekuro's residence,The Rokujō estate (Genji's mansion),"At Higekuro's residence, Tamakazura ""wrote out her reply,"" careful to betray nothing (Washburn NC pp. 532–533).","Received by Genji at the Rokujō estate, where he ""spread open her letter"" through tears (Washburn NC p. 533)."
31MA17,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, Genji ""went to her former quarters in the northeast residence to view the garden"" and ""composed his own"" verse (Washburn NC p. 534).","Soliloquy — spoken in place at Rokujō; ""there was no one there to hear him"" (Washburn NC p. 534)."
31MA18,The Rokujō estate (Genji's mansion),Higekuro's residence,"At the Rokujō estate, Genji had wild goose eggs prepared as a gift and ""attached a letter"" with the poem (Washburn NC p. 534).","Received at Higekuro's residence, where ""the Major Captain saw the letter and smiled"" (Washburn NC pp. 534–535)."
31MA19,Higekuro's residence,The Rokujō estate (Genji's mansion),"At Higekuro's residence, ""Then let me answer for you,"" Higekuro said, and wrote the reply (Washburn NC p. 535).","Received by Genji at the Rokujō estate, who ""smiled, but in his heart... was vexed that he had been bested"" (Washburn NC p. 535)."
31MA20,The Kokiden,The Kokiden,"In the Kokiden Consort's quarters, where ""noblemen had gathered in the Consort's presence... playing music,"" the lady from Ōmi ""compose[d] the following, speaking in a clear, ringing voice"" (Washburn NC p. 536).","Heard by Yūgiri in the Consort's quarters, present; co-present."
31MA21,The Kokiden,The Kokiden,"In the Kokiden Consort's quarters, ""Amused, he composed this reply"" (Washburn NC p. 536).","Heard by the lady from Ōmi in the Consort's quarters, present; co-present."
32UM01,Princess Asagao's residence,The Rokujō estate (Genji's mansion),"Composed at the Momozono estate (Princess Asagao's residence, established Ch20) and sent — the text shows only that ""a messenger arrived bearing a letter from Princess Asagao"" attached to a leafless plum branch; her residence is inferred from context (Washburn NC p. 538).","Received by Genji at the Rokujō estate, where, with Sochinomiya present, he ""noticed that Asagao had attached a poem"" (Washburn NC p. 538)."
32UM02,The Rokujō estate (Genji's mansion),Princess Asagao's residence,"At the Rokujō estate, Genji ""chose paper of plum red for his reply and attached it to a branch of red plum blossoms from Murasaki's garden"" (Washburn NC pp. 538–539).",No receipt scene shown; inferred from context — sent to Asagao at her established Momozono residence (Washburn NC p. 539).
32UM03,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, during the music gathering, ""Sochinomiya passed a winecup to his brother and composed the following"" (Washburn NC p. 541).","Heard by Genji at Rokujō, present; co-present."
32UM04,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, ""Genji replied"" (Washburn NC p. 541).","Heard by Prince Hotaru at Rokujō, present; co-present."
32UM05,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, Kashiwagi ""presented it to Genji's son with this poem"" (Washburn NC p. 541).","Heard by Yūgiri at Rokujō, present; co-present."
32UM06,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, ""Genji's son replied"" (Washburn NC p. 541).","Heard by Kashiwagi at Rokujō, present; co-present."
32UM07,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, ""Kōbai responded in turn"" (Washburn NC p. 542).","Heard by Yūgiri at Rokujō, present; co-present."
32UM08,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, as he prepared to board his carriage, Sochinomiya ""left with this poem"" (Washburn NC p. 542).","Heard by Genji at Rokujō, who followed him out; co-present."
32UM09,The Rokujō estate (Genji's mansion),The Rokujō estate (Genji's mansion),"At the Rokujō estate, Genji ""followed Sochinomiya out while the ox was being yoked"" and answered (Washburn NC p. 542).","Heard by Prince Hotaru at Rokujō, present; co-present."
32UM10,Indeterminate,Tō no Chūjō's residence,"No locating text — Yūgiri's whereabouts at composition are not given (indeterminate). The text shows only that ""a letter arrived from her beloved"" (Washburn NC p. 549).","Received by Kumoi no Kari at Tō no Chūjō's residence, where she ""read it at once"" (Washburn NC p. 549)."
32UM11,Tō no Chūjō's residence,Indeterminate,"At Tō no Chūjō's residence, Kumoi no Kari ""sent him this reply"" (Washburn NC p. 549).","No locating text — Yūgiri's whereabouts at receipt are not given (indeterminate). ""Her reply seemed so strange to him that he couldn't put her letter down"" (Washburn NC p. 549)."
33FU01,Tō no Chūjō's residence,The Rokujō estate (Genji's mansion),"At Tō no Chūjō's residence, drawn by the wisteria ""in his garden,"" he ""had Kashiwagi take a letter to his daughter's beloved"" (Washburn NC p. 551).","Received by Yūgiri at the Rokujō estate, where ""the young gentleman showed Tō no Chūjō's letter to his father"" (Washburn NC p. 552)."
33FU02,The Rokujō estate (Genji's mansion),Tō no Chūjō's residence,"At the Rokujō estate, ""he replied with humble restraint"" (Washburn NC p. 552).","Received at Tō no Chūjō's residence, brought back by Kashiwagi, who ""made his way back home"" (Washburn NC p. 552)."
33FU03,Tō no Chūjō's residence,Tō no Chūjō's residence,"At Tō no Chūjō's residence, prompted by the ""Shoots of wisteria leaves"" allusion, ""Tō no Chūjō jumped in"" with the verse (Washburn NC pp. 553–554).","Heard by Yūgiri at Tō no Chūjō's residence, present; co-present."
33FU04,Tō no Chūjō's residence,Tō no Chūjō's residence,"At Tō no Chūjō's residence, ""the Consultant raised his winecup and, making a ceremonial bow, gave a perfectly proper response"" (Washburn NC p. 554).","Heard by Tō no Chūjō at his residence, present; co-present."
33FU05,Tō no Chūjō's residence,Tō no Chūjō's residence,"At Tō no Chūjō's residence, ""he handed the cup to Kashiwagi, who replied"" (Washburn NC p. 554).","Heard by Yūgiri at Tō no Chūjō's residence, present; co-present."
33FU06,Tō no Chūjō's residence,Tō no Chūjō's residence,"In Kumoi no Kari's chambers at Tō no Chūjō's residence, to which Kashiwagi ""led the young gentleman,"" she ""replied as follows"" (Washburn NC p. 555).","Heard by Yūgiri in her chambers, present; co-present."
33FU07,Tō no Chūjō's residence,Tō no Chūjō's residence,"In Kumoi no Kari's chambers at Tō no Chūjō's residence, ""he composed the following"" (Washburn NC p. 555).","Heard by Kumoi no Kari, present; co-present."
33FU08,The Rokujō estate (Genji's mansion),Tō no Chūjō's residence,"Composed after he ""left right before the break of dawn"" and returned to the Rokujō estate; ""his letter the following morning was delivered"" (Washburn NC p. 556).","Received by Kumoi no Kari at Tō no Chūjō's residence, where ""her father dropped by and looked at the letter"" (Washburn NC p. 556)."
